inventory_id,warehouse_id,product_id,on_hand_units,allocated_units,available_units,safety_stock_units,inbound_units
INV-PAR-01-PRD-001,PAR-01,PRD-001,180,70,110,36,50
INV-PAR-01-PRD-002,PAR-01,PRD-002,46,20,26,6,0
INV-PAR-01-PRD-003,PAR-01,PRD-003,113,11,102,16,150
INV-PAR-01-PRD-004,PAR-01,PRD-004,250,105,145,62,0
INV-PAR-01-PRD-005,PAR-01,PRD-005,72,16,56,10,150
INV-PAR-01-PRD-006,PAR-01,PRD-006,127,9,118,31,50
INV-PAR-01-PRD-007,PAR-01,PRD-007,246,86,160,86,100
INV-PAR-01-PRD-008,PAR-01,PRD-008,28,11,17,4,250
INV-PAR-01-PRD-009,PAR-01,PRD-009,201,47,154,40,0
INV-PAR-01-PRD-012,PAR-01,PRD-012,234,102,132,46,150
INV-PAR-01-PRD-013,PAR-01,PRD-013,231,54,177,46,0
INV-PAR-01-PRD-014,PAR-01,PRD-014,142,34,108,28,0
INV-PAR-01-PRD-015,PAR-01,PRD-015,93,20,73,13,100
INV-PAR-01-PRD-016,PAR-01,PRD-016,175,30,145,35,100
INV-PAR-01-PRD-017,PAR-01,PRD-017,137,28,109,27,150
INV-PAR-01-PRD-018,PAR-01,PRD-018,97,10,87,19,100
INV-PAR-01-PRD-019,PAR-01,PRD-019,210,76,134,42,0
INV-PAR-01-PRD-020,PAR-01,PRD-020,144,52,92,28,100
INV-PAR-01-PRD-021,PAR-01,PRD-021,151,15,136,30,50
INV-PAR-01-PRD-023,PAR-01,PRD-023,180,49,131,36,50
INV-PAR-01-PRD-024,PAR-01,PRD-024,164,44,120,32,100
INV-PAR-01-PRD-025,PAR-01,PRD-025,123,7,116,18,0
INV-PAR-01-PRD-026,PAR-01,PRD-026,147,31,116,22,0
INV-PAR-01-PRD-027,PAR-01,PRD-027,56,4,52,11,0
INV-PAR-01-PRD-028,PAR-01,PRD-028,233,73,160,46,0
INV-PAR-01-PRD-029,PAR-01,PRD-029,326,102,224,114,150
INV-PAR-01-PRD-030,PAR-01,PRD-030,74,8,66,11,150
INV-PAR-01-PRD-033,PAR-01,PRD-033,189,21,168,37,50
INV-PAR-01-PRD-034,PAR-01,PRD-034,381,125,256,95,0
INV-PAR-01-PRD-035,PAR-01,PRD-035,83,14,69,16,0
INV-PAR-01-PRD-036,PAR-01,PRD-036,171,14,157,34,0
INV-PAR-01-PRD-038,PAR-01,PRD-038,67,22,45,10,250
INV-PAR-01-PRD-039,PAR-01,PRD-039,202,73,129,40,250
INV-PAR-01-PRD-040,PAR-01,PRD-040,207,32,175,41,50
INV-PAR-01-PRD-042,PAR-01,PRD-042,194,25,169,67,50
INV-PAR-01-PRD-043,PAR-01,PRD-043,211,25,186,42,100
INV-PAR-01-PRD-044,PAR-01,PRD-044,105,35,70,26,150
INV-PAR-01-PRD-045,PAR-01,PRD-045,111,31,80,22,100
INV-PAR-01-PRD-046,PAR-01,PRD-046,288,62,226,72,0
INV-PAR-01-PRD-048,PAR-01,PRD-048,87,9,78,17,0
INV-PAR-01-PRD-050,PAR-01,PRD-050,123,51,72,18,0
INV-PAR-01-PRD-051,PAR-01,PRD-051,139,39,100,27,0
INV-PAR-01-PRD-053,PAR-01,PRD-053,133,48,85,26,50
INV-PAR-01-PRD-055,PAR-01,PRD-055,384,163,221,134,50
INV-PAR-01-PRD-056,PAR-01,PRD-056,262,41,221,65,50
