order_id,customer_id,product_id,origin_warehouse_id,destination_warehouse_id,order_date,quantity_units,priority,promised_delivery,status
ORD-0001,CUS-026,PRD-012,PAR-01,MAD-01,2026-08-20 15:00:00,75,STANDARD,2026-08-23 15:00:00,IN_TRANSIT
ORD-0002,CUS-024,PRD-044,FRA-01,MAD-01,2026-08-03 13:00:00,100,STANDARD,2026-08-06 13:00:00,IN_TRANSIT
ORD-0003,CUS-017,PRD-054,BRU-01,PAR-01,2026-08-16 19:00:00,200,CRITICAL,2026-08-17 19:00:00,IN_TRANSIT
ORD-0004,CUS-002,PRD-012,MIL-01,MAD-01,2026-08-22 12:00:00,150,STANDARD,2026-08-25 12:00:00,IN_TRANSIT
ORD-0005,CUS-016,PRD-026,FRA-01,PAR-01,2026-08-26 04:00:00,75,STANDARD,2026-08-29 04:00:00,IN_TRANSIT
ORD-0006,CUS-027,PRD-001,FRA-01,BRU-01,2026-08-06 11:00:00,200,STANDARD,2026-08-09 11:00:00,IN_TRANSIT
ORD-0007,CUS-015,PRD-003,MIL-01,FRA-01,2026-08-13 01:00:00,150,STANDARD,2026-08-16 01:00:00,IN_TRANSIT
ORD-0008,CUS-018,PRD-043,FRA-01,BRU-01,2026-08-14 12:00:00,25,PREMIUM,2026-08-16 12:00:00,IN_TRANSIT
ORD-0009,CUS-025,PRD-001,PAR-01,MIL-01,2026-08-27 15:00:00,10,STANDARD,2026-08-30 15:00:00,IN_TRANSIT
ORD-0010,CUS-021,PRD-028,MAD-01,MIL-01,2026-08-09 07:00:00,100,STANDARD,2026-08-12 07:00:00,IN_TRANSIT
ORD-0011,CUS-029,PRD-049,PAR-01,MAD-01,2026-08-22 00:00:00,50,CRITICAL,2026-08-23 00:00:00,IN_TRANSIT
ORD-0012,CUS-011,PRD-022,PAR-01,MAD-01,2026-08-14 08:00:00,200,STANDARD,2026-08-17 08:00:00,IN_TRANSIT
ORD-0013,CUS-005,PRD-059,MIL-01,MAD-01,2026-08-23 19:00:00,25,STANDARD,2026-08-26 19:00:00,IN_TRANSIT
ORD-0014,CUS-014,PRD-066,BRU-01,FRA-01,2026-08-15 22:00:00,10,STANDARD,2026-08-18 22:00:00,IN_TRANSIT
ORD-0015,CUS-019,PRD-001,FRA-01,PAR-01,2026-08-23 07:00:00,100,PREMIUM,2026-08-25 07:00:00,IN_TRANSIT
ORD-0016,CUS-012,PRD-053,MAD-01,FRA-01,2026-08-11 23:00:00,200,STANDARD,2026-08-14 23:00:00,IN_TRANSIT
ORD-0017,CUS-009,PRD-070,FRA-01,BRU-01,2026-08-28 03:00:00,50,PREMIUM,2026-08-30 03:00:00,IN_TRANSIT
ORD-0018,CUS-021,PRD-068,PAR-01,FRA-01,2026-08-24 20:00:00,25,STANDARD,2026-08-27 20:00:00,IN_TRANSIT
ORD-0019,CUS-015,PRD-028,FRA-01,PAR-01,2026-08-21 14:00:00,75,STANDARD,2026-08-24 14:00:00,IN_TRANSIT
ORD-0020,CUS-003,PRD-051,BRU-01,PAR-01,2026-08-17 22:00:00,100,STANDARD,2026-08-20 22:00:00,IN_TRANSIT
ORD-0021,CUS-005,PRD-017,MAD-01,BRU-01,2026-08-05 19:00:00,150,STANDARD,2026-08-08 19:00:00,IN_TRANSIT
ORD-0022,CUS-026,PRD-043,MIL-01,FRA-01,2026-08-03 22:00:00,50,STANDARD,2026-08-06 22:00:00,IN_TRANSIT
ORD-0023,CUS-018,PRD-051,MIL-01,MAD-01,2026-08-14 01:00:00,150,PREMIUM,2026-08-16 01:00:00,IN_TRANSIT
ORD-0024,CUS-009,PRD-017,MAD-01,BRU-01,2026-08-27 22:00:00,50,PREMIUM,2026-08-29 22:00:00,IN_TRANSIT
ORD-0025,CUS-001,PRD-039,BRU-01,MIL-01,2026-08-20 02:00:00,10,CRITICAL,2026-08-21 02:00:00,IN_TRANSIT
ORD-0026,CUS-020,PRD-067,MAD-01,PAR-01,2026-08-25 03:00:00,10,STANDARD,2026-08-28 03:00:00,IN_TRANSIT
ORD-0027,CUS-022,PRD-025,MIL-01,MAD-01,2026-08-24 09:00:00,100,STANDARD,2026-08-27 09:00:00,IN_TRANSIT
ORD-0028,CUS-012,PRD-036,FRA-01,MIL-01,2026-08-09 07:00:00,150,STANDARD,2026-08-12 07:00:00,IN_TRANSIT
ORD-0029,CUS-013,PRD-056,FRA-01,BRU-01,2026-08-16 04:00:00,75,STANDARD,2026-08-19 04:00:00,IN_TRANSIT
ORD-0030,CUS-023,PRD-050,PAR-01,BRU-01,2026-08-08 08:00:00,10,PREMIUM,2026-08-10 08:00:00,IN_TRANSIT
ORD-0031,CUS-001,PRD-002,FRA-01,MIL-01,2026-08-20 15:00:00,75,CRITICAL,2026-08-21 15:00:00,IN_TRANSIT
ORD-0032,CUS-022,PRD-004,MAD-01,FRA-01,2026-08-03 09:00:00,150,STANDARD,2026-08-06 09:00:00,IN_TRANSIT
ORD-0033,CUS-016,PRD-075,FRA-01,MIL-01,2026-08-17 23:00:00,75,STANDARD,2026-08-20 23:00:00,IN_TRANSIT
ORD-0034,CUS-010,PRD-058,PAR-01,MIL-01,2026-08-24 20:00:00,50,STANDARD,2026-08-27 20:00:00,IN_TRANSIT
