route_id,origin_warehouse,destination_warehouse,distance_km,typical_transit_hours,risk_score
R-001,PAR-01,BRU-01,267.3,3.8,0.29
R-002,PAR-01,FRA-01,494.7,7.1,0.4
R-003,PAR-01,MAD-01,1041.1,14.9,0.33
R-004,BRU-01,PAR-01,267.3,3.8,0.38
R-005,BRU-01,FRA-01,335.0,4.8,0.29
R-006,FRA-01,BRU-01,335.0,4.8,0.32
R-007,FRA-01,PAR-01,494.7,7.1,0.2
R-008,FRA-01,MIL-01,517.2,7.4,0.36
R-009,MIL-01,FRA-01,517.2,7.4,0.17
R-010,MIL-01,MAD-01,1117.6,16.0,0.34
R-011,MAD-01,MIL-01,1117.6,16.0,0.4
R-012,MAD-01,PAR-01,1041.1,14.9,0.15
