shipment_id,order_id,carrier_id,route_id,origin_warehouse_id,destination_warehouse_id,departure_time,original_eta,current_eta,shipment_status,quantity_units,transport_cost_eur
SHP-0001,ORD-0001,CAR-003,R-003,PAR-01,MAD-01,2026-08-20 15:00:00,2026-08-21 05:54:00,2026-08-21 05:54:00,IN_TRANSIT,75,989.04
SHP-0002,ORD-0002,CAR-004,R-006,FRA-01,MAD-01,2026-08-03 13:00:00,2026-08-03 17:48:00,2026-08-03 17:48:00,IN_TRANSIT,100,469.0
SHP-0003,ORD-0003,CAR-006,R-004,BRU-01,PAR-01,2026-08-16 19:00:00,2026-08-16 22:48:00,2026-08-16 22:48:00,IN_TRANSIT,200,240.57
SHP-0004,ORD-0004,CAR-003,R-010,MIL-01,MAD-01,2026-08-22 12:00:00,2026-08-23 04:00:00,2026-08-23 04:00:00,IN_TRANSIT,150,1061.72
SHP-0005,ORD-0005,CAR-006,R-007,FRA-01,PAR-01,2026-08-26 04:00:00,2026-08-26 11:06:00,2026-08-26 11:06:00,IN_TRANSIT,75,445.23
SHP-0006,ORD-0006,CAR-006,R-006,FRA-01,BRU-01,2026-08-06 11:00:00,2026-08-06 15:48:00,2026-08-06 15:48:00,IN_TRANSIT,200,301.5
SHP-0007,ORD-0007,CAR-005,R-009,MIL-01,FRA-01,2026-08-13 01:00:00,2026-08-13 08:24:00,2026-08-13 08:24:00,IN_TRANSIT,150,594.78
SHP-0008,ORD-0008,CAR-001,R-006,FRA-01,BRU-01,2026-08-14 12:00:00,2026-08-14 16:48:00,2026-08-14 16:48:00,IN_TRANSIT,25,351.75
SHP-0009,ORD-0009,CAR-005,R-004,PAR-01,MIL-01,2026-08-27 15:00:00,2026-08-27 18:48:00,2026-08-27 18:48:00,IN_TRANSIT,10,307.4
SHP-0010,ORD-0010,CAR-002,R-011,MAD-01,MIL-01,2026-08-09 07:00:00,2026-08-09 23:00:00,2026-08-09 23:00:00,IN_TRANSIT,100,1508.76
SHP-0011,ORD-0011,CAR-002,R-003,PAR-01,MAD-01,2026-08-22 00:00:00,2026-08-22 14:54:00,2026-08-22 14:54:00,IN_TRANSIT,50,1405.48
SHP-0012,ORD-0012,CAR-004,R-003,PAR-01,MAD-01,2026-08-14 08:00:00,2026-08-14 22:54:00,2026-08-14 22:54:00,IN_TRANSIT,200,1457.54
SHP-0013,ORD-0013,CAR-002,R-010,MIL-01,MAD-01,2026-08-23 19:00:00,2026-08-24 11:00:00,2026-08-24 11:00:00,IN_TRANSIT,25,1508.76
SHP-0014,ORD-0014,CAR-001,R-005,BRU-01,FRA-01,2026-08-15 22:00:00,2026-08-16 02:48:00,2026-08-16 02:48:00,IN_TRANSIT,10,351.75
SHP-0015,ORD-0015,CAR-005,R-007,FRA-01,PAR-01,2026-08-23 07:00:00,2026-08-23 14:06:00,2026-08-23 14:06:00,IN_TRANSIT,100,568.9
SHP-0016,ORD-0016,CAR-005,R-010,MAD-01,FRA-01,2026-08-11 23:00:00,2026-08-12 15:00:00,2026-08-12 15:00:00,IN_TRANSIT,200,1285.24
SHP-0017,ORD-0017,CAR-003,R-006,FRA-01,BRU-01,2026-08-28 03:00:00,2026-08-28 07:48:00,2026-08-28 07:48:00,IN_TRANSIT,50,318.25
SHP-0018,ORD-0018,CAR-002,R-002,PAR-01,FRA-01,2026-08-24 20:00:00,2026-08-25 03:06:00,2026-08-25 03:06:00,IN_TRANSIT,25,667.84
SHP-0019,ORD-0019,CAR-004,R-007,FRA-01,PAR-01,2026-08-21 14:00:00,2026-08-21 21:06:00,2026-08-21 21:06:00,IN_TRANSIT,75,692.58
SHP-0020,ORD-0020,CAR-002,R-004,BRU-01,PAR-01,2026-08-17 22:00:00,2026-08-18 01:48:00,2026-08-18 01:48:00,IN_TRANSIT,100,360.86
SHP-0021,ORD-0021,CAR-001,R-006,MAD-01,BRU-01,2026-08-05 19:00:00,2026-08-05 23:48:00,2026-08-05 23:48:00,IN_TRANSIT,150,351.75
SHP-0022,ORD-0022,CAR-003,R-009,MIL-01,FRA-01,2026-08-03 22:00:00,2026-08-04 05:24:00,2026-08-04 05:24:00,IN_TRANSIT,50,491.34
SHP-0023,ORD-0023,CAR-002,R-010,MIL-01,MAD-01,2026-08-14 01:00:00,2026-08-14 17:00:00,2026-08-14 17:00:00,IN_TRANSIT,150,1508.76
SHP-0024,ORD-0024,CAR-005,R-012,MAD-01,BRU-01,2026-08-27 22:00:00,2026-08-28 12:54:00,2026-08-28 12:54:00,IN_TRANSIT,50,1197.26
SHP-0025,ORD-0025,CAR-004,R-001,BRU-01,MIL-01,2026-08-20 02:00:00,2026-08-20 05:48:00,2026-08-20 05:48:00,IN_TRANSIT,10,374.22
SHP-0026,ORD-0026,CAR-006,R-012,MAD-01,PAR-01,2026-08-25 03:00:00,2026-08-25 17:54:00,2026-08-25 17:54:00,IN_TRANSIT,10,936.99
SHP-0027,ORD-0027,CAR-006,R-010,MIL-01,MAD-01,2026-08-24 09:00:00,2026-08-25 01:00:00,2026-08-25 01:00:00,IN_TRANSIT,100,1005.84
SHP-0028,ORD-0028,CAR-002,R-008,FRA-01,MIL-01,2026-08-09 07:00:00,2026-08-09 14:24:00,2026-08-09 14:24:00,IN_TRANSIT,150,698.22
