order_id,sla_tolerance_hours,sla_penalty_per_hour_eur,priority
ORD-0001,12,75.0,STANDARD
ORD-0002,12,75.0,STANDARD
ORD-0003,2,250.0,CRITICAL
ORD-0004,12,75.0,STANDARD
ORD-0005,12,75.0,STANDARD
ORD-0006,12,75.0,STANDARD
ORD-0007,12,75.0,STANDARD
ORD-0008,4,200.0,PREMIUM
ORD-0009,12,75.0,STANDARD
ORD-0010,12,75.0,STANDARD
ORD-0011,2,250.0,CRITICAL
ORD-0012,12,75.0,STANDARD
ORD-0013,12,75.0,STANDARD
ORD-0014,12,75.0,STANDARD
ORD-0015,4,200.0,PREMIUM
ORD-0016,12,75.0,STANDARD
ORD-0017,4,200.0,PREMIUM
ORD-0018,12,75.0,STANDARD
ORD-0019,12,75.0,STANDARD
ORD-0020,12,75.0,STANDARD
ORD-0021,12,75.0,STANDARD
ORD-0022,12,75.0,STANDARD
ORD-0023,4,200.0,PREMIUM
ORD-0024,4,200.0,PREMIUM
ORD-0025,2,250.0,CRITICAL
ORD-0026,12,75.0,STANDARD
ORD-0027,12,75.0,STANDARD
ORD-0028,12,75.0,STANDARD
ORD-0029,12,75.0,STANDARD
ORD-0030,4,200.0,PREMIUM
ORD-0031,2,250.0,CRITICAL
ORD-0032,12,75.0,STANDARD
ORD-0033,12,75.0,STANDARD
ORD-0034,12,75.0,STANDARD
ORD-0035,12,75.0,STANDARD
ORD-0036,4,200.0,PREMIUM
ORD-0037,4,200.0,PREMIUM
ORD-0038,12,75.0,STANDARD
ORD-0039,12,75.0,STANDARD
ORD-0040,12,75.0,STANDARD
ORD-0041,12,75.0,STANDARD
ORD-0042,2,250.0,CRITICAL
ORD-0043,12,75.0,STANDARD
ORD-0044,12,75.0,STANDARD
ORD-0045,12,75.0,STANDARD
ORD-0046,4,200.0,PREMIUM
ORD-0047,4,200.0,PREMIUM
ORD-0048,4,200.0,PREMIUM
ORD-0049,2,250.0,CRITICAL
ORD-0050,4,200.0,PREMIUM
ORD-0051,4,200.0,PREMIUM
ORD-0052,12,75.0,STANDARD
ORD-0053,12,75.0,STANDARD
ORD-0054,4,200.0,PREMIUM
ORD-0055,12,75.0,STANDARD
ORD-0056,4,200.0,PREMIUM
ORD-0057,12,75.0,STANDARD
ORD-0058,12,75.0,STANDARD
ORD-0059,12,75.0,STANDARD
ORD-0060,12,75.0,STANDARD
ORD-0061,2,250.0,CRITICAL
